Created on 01-28-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-10-03 11-PM,BTCUSD,6434.85,6439.77,6434.84,6439.77,16.38,105441.85
2018-10-03 10-PM,BTCUSD,6417.33,6437,6414.99,6434.85,322.8,2074547.42
2018-10-03 09-PM,BTCUSD,6437.52,6449.99,6417.33,6417.33,169.22,1090287.54
2018-10-03 08-PM,BTCUSD,6433.33,6445.67,6426.08,6437.52,241.18,1552284.94
2018-10-03 07-PM,BTCUSD,6452,6452.36,6418.11,6433.33,316.72,2038003.39
2018-10-03 06-PM,BTCUSD,6465,6468.28,6441.15,6452,270.48,1744558.81
2018-10-03 05-PM,BTCUSD,6468.54,6479.98,6460.87,6465,251.26,1625520.25
2018-10-03 04-PM,BTCUSD,6468.26,6475.39,6457.17,6468.54,242.52,1568741.06
2018-10-03 03-PM,BTCUSD,6481.34,6490.75,6464.8,6468.26,314.25,2034466.82
2018-10-03 02-PM,BTCUSD,6442.65,6493.11,6440,6481.34,250.32,1618919.7
2018-10-03 01-PM,BTCUSD,6432.01,6450,6422.64,6442.65,267.8,1724196.08
2018-10-03 12-PM,BTCUSD,6451.56,6451.57,6432,6432.01,117.98,760380.86
2018-10-03 11-AM,BTCUSD,6446.42,6461.84,6437.51,6451.56,202.21,1303975.11
2018-10-03 10-AM,BTCUSD,6427.66,6460,6427.66,6446.42,260.56,1680021.23
2018-10-03 09-AM,BTCUSD,6418.45,6430.99,6417.48,6427.66,85.9,551832.91
2018-10-03 08-AM,BTCUSD,6414.49,6422.96,6412,6418.45,103.89,666582.3
2018-10-03 07-AM,BTCUSD,6430.02,6435.81,6414.48,6414.49,201.36,1294548.05
2018-10-03 06-AM,BTCUSD,6425.11,6430.02,6410.02,6430.02,105.96,680388.17
2018-10-03 05-AM,BTCUSD,6423.75,6435,6416.86,6425.11,187.87,1207653.55
2018-10-03 04-AM,BTCUSD,6425,6435.81,6398.96,6423.75,357.08,2290312.46
2018-10-03 03-AM,BTCUSD,6470.39,6476.75,6405.68,6425,640.19,4113233.77
2018-10-03 02-AM,BTCUSD,6489.62,6492,6453,6470.39,313.55,2028598.7
2018-10-03 01-AM,BTCUSD,6507.94,6507.95,6474.99,6489.62,203.62,1320585.54
2018-10-03 12-AM,BTCUSD,6498.46,6507.95,6480.64,6507.94,230.88,1499046.34
2018-10-02 11-PM,BTCUSD,6530.99,6531,6489.02,6498.46,281.5,1832203.94
2018-10-02 10-PM,BTCUSD,6522.87,6537.27,6522.86,6530.99,203.18,1327064.68
2018-10-02 09-PM,BTCUSD,6524.38,6528.3,6515.1,6522.87,252.96,1650025.63
2018-10-02 08-PM,BTCUSD,6531.76,6545,6522.83,6524.38,280.87,1835250.56
2018-10-02 07-PM,BTCUSD,6534,6545,6528.51,6531.76,183.18,1197214.38
2018-10-02 06-PM,BTCUSD,6499.5,6534,6499.49,6534,374.36,2439727.21
2018-10-02 05-PM,BTCUSD,6496.02,6514.75,6452,6499.5,658.02,4268968.34
2018-10-02 04-PM,BTCUSD,6528.18,6528.76,6489,6496.02,336.15,2187007.85
2018-10-02 03-PM,BTCUSD,6520.01,6532.5,6511.43,6528.18,261.54,1705846.18
2018-10-02 02-PM,BTCUSD,6550.23,6553.96,6506.01,6520.01,392.92,2565001.87
2018-10-02 01-PM,BTCUSD,6550,6558,6536.53,6550.23,252.18,1651436.6
2018-10-02 12-PM,BTCUSD,6539.26,6569.33,6530.54,6550,210.95,1381880.75
2018-10-02 11-AM,BTCUSD,6551.15,6555.45,6537.6,6539.26,96.78,633414.95
2018-10-02 10-AM,BTCUSD,6540.01,6558.92,6525,6551.15,162.2,1061566.09
2018-10-02 09-AM,BTCUSD,6561,6562.26,6540,6540.01,93.17,610314.89
2018-10-02 08-AM,BTCUSD,6557.74,6568.84,6557.73,6561,47.7,313080.82
2018-10-02 07-AM,BTCUSD,6559.31,6560.63,6550,6557.74,115.96,760216.31
2018-10-02 06-AM,BTCUSD,6580.01,6580.01,6559.3,6559.31,112.63,739721.26
2018-10-02 05-AM,BTCUSD,6575.01,6583.82,6570,6580.01,179.72,1182129.81
2018-10-02 04-AM,BTCUSD,6566.7,6582.22,6566.7,6575.01,111.28,731607.05
2018-10-02 03-AM,BTCUSD,6569.99,6578.46,6566.7,6566.7,144.62,950448.09
2018-10-02 02-AM,BTCUSD,6574.99,6577.86,6566,6569.99,163.16,1072173.25
2018-10-02 01-AM,BTCUSD,6556.9,6591.37,6551.42,6574.99,197.64,1297718.6
2018-10-02 12-AM,BTCUSD,6572.83,6576.18,6553.37,6556.9,171.23,1123929.98
2018-10-01 11-PM,BTCUSD,6562.5,6575.93,6550.42,6572.83,241.28,1583611.59
2018-10-01 10-PM,BTCUSD,6573.01,6574.98,6560,6562.5,202.59,1330299.24
2018-10-01 09-PM,BTCUSD,6551.6,6610,6547.77,6573.01,482.64,3173578.26
2018-10-01 08-PM,BTCUSD,6556.51,6560.31,6543.5,6551.6,246.94,1618616.94
2018-10-01 07-PM,BTCUSD,6562,6566.29,6535,6556.51,263.4,1725441.28
2018-10-01 06-PM,BTCUSD,6563.57,6578.93,6550.32,6562,693.26,4551971.3
2018-10-01 05-PM,BTCUSD,6558.77,6564.49,6547.62,6563.57,419.87,2753476.18
2018-10-01 04-PM,BTCUSD,6542.99,6570,6519.49,6558.77,386.45,2527381.89
2018-10-01 03-PM,BTCUSD,6540.61,6545,6527.39,6542.99,286.69,1874692.55
2018-10-01 02-PM,BTCUSD,6543.51,6546.79,6479.03,6540.61,774.56,5046606.49
2018-10-01 01-PM,BTCUSD,6585.15,6595.38,6539.01,6543.51,294.37,1932994.28
2018-10-01 12-PM,BTCUSD,6570.98,6590,6551,6585.15,325.53,2138299.49
2018-10-01 11-AM,BTCUSD,6569.64,6582.92,6549.66,6570.98,602.55,3952088.03
2018-10-01 10-AM,BTCUSD,6591.86,6598.68,6569.64,6569.64,128.99,849529.03
2018-10-01 09-AM,BTCUSD,6602.8,6602.8,6591.85,6591.86,48.15,317676.05
2018-10-01 08-AM,BTCUSD,6586.01,6602.8,6580.53,6602.8,142.75,940551.29
2018-10-01 07-AM,BTCUSD,6605.78,6606,6586,6586.01,87.69,578603.37
2018-10-01 06-AM,BTCUSD,6600.37,6608.38,6586,6605.78,213.98,1412282.7
2018-10-01 05-AM,BTCUSD,6607.01,6608.02,6591.87,6600.37,110.58,729944.72
2018-10-01 04-AM,BTCUSD,6621.28,6632.99,6601,6607.01,209.17,1385194.41
2018-10-01 03-AM,BTCUSD,6614.18,6629.99,6614.17,6621.28,172.05,1139416.11
2018-10-01 02-AM,BTCUSD,6615.92,6623.99,6612.49,6614.18,133.3,882175.3
2018-10-01 01-AM,BTCUSD,6624.96,6639.33,6608.37,6615.92,167.9,1112171.34
2018-10-01 12-AM,BTCUSD,6605,6626,6604.99,6624.96,235.27,1557230.44
2018-09-30 11-PM,BTCUSD,6612.05,6621,6594.81,6605,175.56,1160329.32
2018-09-30 10-PM,BTCUSD,6559.79,6616.83,6557,6612.05,289.89,1909871.53
2018-09-30 09-PM,BTCUSD,6561.29,6570.33,6549,6559.79,143.47,940927.42
2018-09-30 08-PM,BTCUSD,6588.01,6588.01,6523,6561.29,359.81,2357373.94
2018-09-30 07-PM,BTCUSD,6598.24,6604,6581.71,6588.01,145.4,958775.94
2018-09-30 06-PM,BTCUSD,6601.02,6609.91,6596.16,6598.24,129.4,854367.2
2018-09-30 05-PM,BTCUSD,6604,6607.96,6589.98,6601.02,150.16,991027.4
2018-09-30 04-PM,BTCUSD,6590,6609.4,6580,6604,172.66,1139152.85
2018-09-30 03-PM,BTCUSD,6627.51,6627.64,6580,6590,262.72,1735761.7
2018-09-30 02-PM,BTCUSD,6617.01,6640.26,6611,6627.51,140.6,931019.26
2018-09-30 01-PM,BTCUSD,6613.97,6622.99,6608.22,6617.01,142.97,945443.53
2018-09-30 12-PM,BTCUSD,6611.7,6616.91,6601.96,6613.97,115.87,765959.23
2018-09-30 11-AM,BTCUSD,6624.25,6640.37,6603.88,6611.7,141.73,938775.88
2018-09-30 10-AM,BTCUSD,6570.48,6632.28,6567.98,6624.25,253.86,1677734.38
2018-09-30 09-AM,BTCUSD,6566.13,6579.09,6560.53,6570.48,93.02,611189.03
2018-09-30 08-AM,BTCUSD,6568.21,6569.84,6561.75,6566.13,86.39,567277.21
2018-09-30 07-AM,BTCUSD,6568.9,6575,6552.66,6568.21,109.5,719039.29
2018-09-30 06-AM,BTCUSD,6552.51,6568.91,6552.51,6568.9,32.83,215416.93
2018-09-30 05-AM,BTCUSD,6546.95,6555,6543.21,6552.51,91.4,598354.19
2018-09-30 04-AM,BTCUSD,6561.06,6563.01,6545,6546.95,79.51,521092.75
2018-09-30 03-AM,BTCUSD,6557.74,6569.43,6556.97,6561.06,99.49,652864.16
2018-09-30 02-AM,BTCUSD,6579.01,6581,6552.71,6557.74,169.87,1115722.94
2018-09-30 01-AM,BTCUSD,6559,6587,6558.99,6579.01,100.88,663433.37
2018-09-30 12-AM,BTCUSD,6582,6582,6545.81,6559,117.19,768573.58
2018-09-29 11-PM,BTCUSD,6581.62,6608.19,6570.39,6582,213.29,1405168.72
2018-09-29 10-PM,BTCUSD,6570,6589.99,6569.99,6581.62,120.96,795799.91
2018-09-29 09-PM,BTCUSD,6577,6578.33,6568,6570,133.2,875615.05
2018-09-29 08-PM,BTCUSD,6569.01,6590,6569,6577,190.49,1253288.15
2018-09-29 07-PM,BTCUSD,6564.16,6576,6563.12,6569.01,149.38,981238.99
2018-09-29 06-PM,BTCUSD,6572.76,6576,6560.2,6564.16,102.22,671521.76
2018-09-29 05-PM,BTCUSD,6540,6574.07,6540,6572.76,295.95,1939895.9
2018-09-29 04-PM,BTCUSD,6566.93,6570,6537.51,6540,127.0,833226.5
2018-09-29 03-PM,BTCUSD,6532.5,6579.06,6532.49,6566.93,207.65,1362610.71
2018-09-29 02-PM,BTCUSD,6546.27,6550.87,6515.28,6532.5,141.64,925292.71
2018-09-29 01-PM,BTCUSD,6564.99,6572.38,6541,6546.27,150.99,990149.14
2018-09-29 12-PM,BTCUSD,6570.01,6582.1,6560,6564.99,104.98,689491.05
2018-09-29 11-AM,BTCUSD,6536.66,6594.44,6534,6570.01,136.37,895840.21
2018-09-29 10-AM,BTCUSD,6528.56,6547.87,6527,6536.66,46.84,306352.95
2018-09-29 09-AM,BTCUSD,6512.43,6558.62,6512.42,6528.56,133.42,872419.83
2018-09-29 08-AM,BTCUSD,6515.3,6532.31,6510.9,6512.43,137.98,899753.97
2018-09-29 07-AM,BTCUSD,6497.5,6519,6493.14,6515.3,70.29,457163.58
2018-09-29 06-AM,BTCUSD,6488.8,6497.5,6460.79,6497.5,203.95,1322328.66
2018-09-29 05-AM,BTCUSD,6492.13,6495,6481.03,6488.8,97.04,629656.8
2018-09-29 04-AM,BTCUSD,6486.66,6496.63,6470.01,6492.13,89.69,581764.94
2018-09-29 03-AM,BTCUSD,6499.01,6504.78,6480.99,6486.66,110.19,715297.55
2018-09-29 02-AM,BTCUSD,6463.63,6520,6460.84,6499.01,267.89,1739982.8
2018-09-29 01-AM,BTCUSD,6609.98,6609.98,6452.02,6463.63,765.91,4987495.16
2018-09-29 12-AM,BTCUSD,6620.01,6620.01,6584.17,6609.98,167.55,1105635.27
2018-09-28 11-PM,BTCUSD,6620.98,6634,6617,6620.01,143.81,952806.95
