,Date,Open,High,Low,Close,Adjusted_Close,Volume,Dividends
251,1998-12-31,139.19,140.0,138.0,138.69,22.5907,5958600.0,0.0
250,1998-12-30,140.88,143.36,138.88,139.0,22.6412,8735700.0,0.0
249,1998-12-29,142.56,142.56,139.63,140.5,22.8855,7412900.0,0.0
248,1998-12-28,143.0,143.63,141.5,142.38,23.1918,5909100.0,0.0
247,1998-12-24,143.63,144.0,141.5,141.75,23.0892,3458100.0,0.0
246,1998-12-23,140.38,143.81,139.38,143.56,23.384,8735000.0,0.0
245,1998-12-22,140.5,140.5,137.38,138.44,22.55,10337500.0,0.0
244,1998-12-21,138.63,142.19,137.75,140.44,22.8758,12028000.0,0.0
243,1998-12-18,135.0,138.25,134.13,137.81,22.4474,14912000.0,0.0
242,1998-12-17,134.19,134.88,132.25,134.38,21.8887,11740900.0,0.0
241,1998-12-16,132.5,135.13,129.13,133.75,21.7861,15006000.0,0.0
240,1998-12-15,129.31,132.0,129.25,131.88,21.4815,12929900.0,0.0
239,1998-12-14,132.75,133.75,127.69,127.94,20.8397,16019400.0,0.0
238,1998-12-11,131.0,134.69,130.75,134.0,21.8268,12932200.0,0.0
237,1998-12-10,133.13,134.63,131.38,131.56,21.4293,14253900.0,0.0
236,1998-12-09,132.13,133.81,130.0,133.63,21.7665,11195400.0,0.0
235,1998-12-08,132.88,134.25,129.75,131.19,21.3691,19396300.0,0.0
234,1998-12-07,127.69,133.75,126.75,133.56,21.7551,22452300.0,0.0
233,1998-12-04,124.94,127.37,124.0,127.37,20.7468,11088000.0,0.0
232,1998-12-03,126.87,128.94,122.0,122.12,19.8917,12856700.0,0.0
231,1998-12-02,129.19,129.75,125.5,126.75,20.6459,16439900.0,0.0
230,1998-12-01,120.25,129.75,120.12,129.5,21.0938,21582700.0,0.0
229,1998-11-30,129.38,130.27,121.94,122.0,19.8721,17725000.0,0.0
228,1998-11-27,125.12,128.13,124.31,128.06,20.8592,6583900.0,0.0
227,1998-11-25,122.69,124.37,120.75,124.25,20.2386,10348500.0,0.0
226,1998-11-24,118.69,125.06,118.62,121.69,19.8216,25278700.0,0.0
225,1998-11-23,112.5,120.19,112.5,119.19,19.4144,27717600.0,0.0
224,1998-11-20,112.75,113.75,111.25,113.62,18.5072,12101300.0,0.0
223,1998-11-19,109.06,112.5,109.06,111.75,18.2026,11305200.0,0.0
222,1998-11-18,109.56,111.06,109.12,109.75,17.8768,10422800.0,0.0
221,1998-11-17,109.0,112.37,108.94,111.87,18.2221,14686000.0,0.0
220,1998-11-16,111.31,111.75,107.5,108.81,17.7237,10655100.0,0.0
219,1998-11-13,108.44,110.5,108.37,110.0,17.9175,7092200.0,0.0
218,1998-11-12,110.25,111.12,108.5,108.75,17.7139,9631700.0,0.0
217,1998-11-11,113.44,114.75,110.87,111.06,18.0902,15974800.0,0.0
216,1998-11-10,110.12,113.44,110.06,112.06,18.2531,18018900.0,0.0
215,1998-11-09,109.19,111.37,108.81,110.69,18.0299,17239200.0,0.0
214,1998-11-06,106.06,109.75,105.94,109.31,17.8051,18615300.0,0.0
213,1998-11-05,105.31,107.62,105.25,106.37,17.3262,19181800.0,0.0
212,1998-11-04,105.81,107.31,104.87,105.5,17.1845,16864900.0,0.0
211,1998-11-03,105.5,106.56,104.75,105.19,17.134,9136700.0,0.0
210,1998-11-02,106.37,106.87,105.0,105.81,17.235,12097100.0,0.0
209,1998-10-30,107.25,108.19,105.12,105.87,17.2448,14830700.0,0.0
208,1998-10-29,105.44,107.5,105.44,106.62,17.367,13100700.0,0.0
207,1998-10-28,104.87,106.62,104.87,105.69,17.2155,14202100.0,0.0
206,1998-10-27,107.75,107.87,105.0,105.44,17.1747,16358700.0,0.0
205,1998-10-26,106.81,108.0,105.69,107.06,17.4386,14919600.0,0.0
204,1998-10-23,109.0,110.0,106.19,106.37,17.3262,14970500.0,0.0
203,1998-10-22,106.0,110.12,105.25,110.0,17.9175,20477700.0,0.0
202,1998-10-21,104.87,106.87,103.06,106.44,17.3376,31344300.0,0.0
201,1998-10-20,103.25,103.37,99.62,100.25,16.3294,23592100.0,0.0
200,1998-10-19,104.12,104.19,101.12,102.94,16.7675,15044400.0,0.0
199,1998-10-16,106.0,106.5,104.0,105.06,17.1128,17155000.0,0.0
198,1998-10-15,100.12,105.62,99.62,105.44,17.1747,16563400.0,0.0
197,1998-10-14,95.87,101.37,95.87,100.19,16.3196,15600800.0,0.0
196,1998-10-13,99.5,99.75,95.75,96.44,15.7088,11998900.0,0.0
195,1998-10-12,99.25,101.0,98.5,99.75,16.2479,12875700.0,0.0
194,1998-10-09,93.19,97.0,92.25,96.87,15.7788,18165400.0,0.0
193,1998-10-08,90.56,91.87,87.75,91.19,14.8536,36179800.0,0.0
192,1998-10-07,97.37,99.75,93.37,94.12,15.3309,22677600.0,0.0
191,1998-10-06,102.5,103.62,97.37,97.62,15.901,19137500.0,0.0
190,1998-10-05,102.5,102.87,96.5,101.19,16.4825,28734400.0,0.0
189,1998-10-02,103.37,105.19,101.0,104.12,16.9597,16472400.0,0.0
188,1998-10-01,108.06,109.5,104.0,104.06,16.95,16360600.0,0.0
187,1998-09-30,112.31,113.56,110.03,110.06,17.9273,9718900.0,0.0
186,1998-09-29,111.81,114.0,111.37,112.87,18.385,12185800.0,0.0
185,1998-09-28,113.0,114.37,109.75,111.31,18.1309,10351300.0,0.0
184,1998-09-25,109.12,113.12,108.62,113.06,18.4159,11969600.0,0.0
183,1998-09-24,113.12,114.62,109.0,110.12,17.9371,15880400.0,0.0
182,1998-09-23,109.62,113.87,108.5,113.62,18.5072,16315900.0,0.0
181,1998-09-22,108.44,109.87,106.75,109.19,17.7856,10770500.0,0.0
180,1998-09-21,102.5,108.06,102.37,107.87,17.5706,11468000.0,0.0
179,1998-09-18,105.75,106.25,104.31,105.37,17.1633,11840400.0,0.0
178,1998-09-17,105.31,106.5,104.81,104.94,17.0933,11294600.0,0.0
177,1998-09-16,107.87,108.5,106.12,108.19,17.6227,10721700.0,0.0
