iid,Date,Tic,Open,High,Low,Close,Adjusted_Close,Volume,Dividends
0,1998-01-02,AAPL,13.63,16.25,13.5,16.25,,6411700,
0,1998-01-02,MSFT,129.63,131.5,129.5,131.13,10.6796,4968500,0
1,1998-01-05,AAPL,16.5,16.56,15.19,15.88,,5820300,
1,1998-01-05,MSFT,131.25,133.63,127.87,130.38,10.6186,10047200,0
2,1998-01-06,AAPL,15.94,20,14.75,18.94,,16182800,
2,1998-01-06,MSFT,129.75,133,129.25,131.13,10.6796,8479300,0
3,1998-01-07,AAPL,18.81,19,17.31,17.5,,9300200,
3,1998-01-07,MSFT,129.88,131.19,127.5,129.56,10.5518,7686600,0
4,1998-01-08,AAPL,17.44,18.62,16.94,18.19,,6910900,
4,1998-01-08,MSFT,128.63,132.13,127.5,130.5,10.6283,9702400,0
5,1998-01-09,AAPL,18.12,19.37,17.5,18.19,,7915600,
5,1998-01-09,MSFT,130.06,131.5,125.87,127,10.3433,10941800,0
6,1998-01-12,AAPL,17.44,18.62,17.12,18.25,,4610700,
6,1998-01-12,MSFT,124.62,130,124.37,129.5,10.5469,9799200,0
7,1998-01-13,AAPL,18.62,19.62,18.5,19.5,,5686200,
7,1998-01-13,MSFT,129.5,132.25,128.13,132.13,10.7611,8368200,0
8,1998-01-14,AAPL,19.87,19.94,19.25,19.75,,5261300,
8,1998-01-14,MSFT,132.13,132.5,129.25,131.13,10.6796,6846800,0
9,1998-01-15,AAPL,19.19,19.75,18.62,19.19,,4993500,
9,1998-01-15,MSFT,130.38,133,129.88,132.31,10.7758,6327800,0
10,1998-01-16,AAPL,19.44,19.44,18.69,18.81,,2199600,
10,1998-01-16,MSFT,132.38,135.38,132.31,135.25,11.0152,9117900,0
11,1998-01-20,AAPL,19.06,19.31,18.62,19.06,,2156800,
11,1998-01-20,MSFT,134.13,138,134,137.81,11.2237,8119500,0
12,1998-01-21,AAPL,18.75,19.06,18.56,18.91,,1698300,
12,1998-01-21,MSFT,137.25,138.44,135.63,137,11.1577,10695900,0
13,1998-01-22,AAPL,18.69,19.75,18.62,19.25,,2944000,
13,1998-01-22,MSFT,135.56,139.88,135.31,138.63,11.2905,19892400,0
14,1998-01-23,AAPL,19.37,19.69,19.25,19.5,,2081800,
14,1998-01-23,MSFT,138.75,139.44,136.7,138.25,11.2595,7914000,0
15,1998-01-26,AAPL,19.44,19.56,18.81,19.44,,1307500,
15,1998-01-26,MSFT,139.88,141.88,138.45,141.75,11.5446,9284700,0
16,1998-01-27,AAPL,19.19,19.69,19,19.12,,1002100,
16,1998-01-27,MSFT,142.38,145.88,141.56,145.19,11.8247,12192600,0
17,1998-01-28,AAPL,19.19,19.37,18.62,19.19,,1349300,
17,1998-01-28,MSFT,146.25,149.5,145.5,149,12.135,9923400,0
18,1998-01-29,AAPL,18.94,19.12,18.5,18.5,,1891800,
18,1998-01-29,MSFT,148.94,150.13,147.5,148.25,12.074,9196400,0
19,1998-01-30,AAPL,18.31,18.87,18.25,18.31,,1450400,
19,1998-01-30,MSFT,148.63,150,147.63,149.19,12.1505,6258900,0
20,1998-02-02,AAPL,18.5,18.5,17.37,17.69,,5685200,
20,1998-02-02,MSFT,151.75,155.13,150.5,154.88,12.6139,12299700,0
21,1998-02-03,AAPL,17.69,18.62,17.69,18.31,,3594800,
21,1998-02-03,MSFT,155.13,156.13,153.81,155.88,12.6954,7671800,0
22,1998-02-04,AAPL,18.06,18.5,18,18.25,,1519600,
22,1998-02-04,MSFT,155.88,158,155.06,156.81,12.7711,7742600,0
23,1998-02-05,AAPL,18.25,18.5,18,18.31,,2127400,
23,1998-02-05,MSFT,158.13,158.75,154.75,155.44,12.6595,8376800,0
24,1998-02-06,AAPL,18.37,18.69,18.25,18.5,,1806600,
24,1998-02-06,MSFT,155.38,158.25,155.13,158.13,12.8786,6258800,0
25,1998-02-09,AAPL,18.37,19.5,18.37,19.19,,4416700,
25,1998-02-09,MSFT,158.75,158.88,155.63,157.19,12.8021,6835200,0
26,1998-02-10,AAPL,19.12,19.56,19.06,19.44,,3768000,
26,1998-02-10,MSFT,157.25,159.5,156.75,159.25,12.9698,6012400,0
27,1998-02-11,AAPL,19.5,19.5,18.87,19,,1889900,
27,1998-02-11,MSFT,159.38,160.06,157.06,158.94,12.9446,9557500,0
28,1998-02-12,AAPL,19.12,19.44,19.06,19.37,,1819200,
28,1998-02-12,MSFT,158.06,158.94,156.44,158.75,12.9291,9582300,0
29,1998-02-13,AAPL,19.19,19.87,19,19.5,,1857100,
29,1998-02-13,MSFT,158.63,158.75,157.38,157.5,12.8273,5275400,0
30,1998-02-17,AAPL,19.5,19.75,19.5,19.62,,1631700,
30,1998-02-17,MSFT,158.5,158.5,153.88,154.38,12.5732,10709200,0
31,1998-02-18,AAPL,19.56,20.75,19.56,20.56,,4416000,
31,1998-02-18,MSFT,154.63,156,153.75,154.63,12.5936,9576100,0
32,1998-02-19,AAPL,20.87,20.94,20,20.44,,3568400,
32,1998-02-19,MSFT,155.5,156.06,154.25,154.88,12.6139,9221700,0
33,1998-02-20,AAPL,20.5,20.56,19.81,20,,2905500,
33,1998-02-20,MSFT,155.5,155.75,152.88,155.13,12.6343,10761500,0
34,1998-02-23,AAPL,20.12,21.62,20,21.25,,4263300,
34,1998-02-23,MSFT,80.94,81.69,79.37,81.62,13.2948,15100450,0
35,1998-02-24,AAPL,21.31,21.37,20.75,21.31,,4076700,
35,1998-02-24,MSFT,83.37,84.94,81.87,82.12,13.3762,29575500,0
36,1998-02-25,AAPL,21.31,22.75,20.94,22.31,,6363100,
36,1998-02-25,MSFT,83.44,85,83.06,84.94,13.8356,23736100,0
37,1998-02-26,AAPL,22.31,23.56,21.87,23.5,,5313700,
37,1998-02-26,MSFT,85.5,85.69,84.44,85.5,13.9268,15347000,0
38,1998-02-27,AAPL,23.31,23.87,22.56,23.62,,4639300,
38,1998-02-27,MSFT,85.56,86,84.56,84.75,13.8046,11883100,0
39,1998-03-02,AAPL,23.56,23.56,22.25,22.75,,3575400,
39,1998-03-02,MSFT,85.87,85.87,83.06,83.31,13.5701,12523400,0
40,1998-03-03,AAPL,21.87,23.19,21.62,23.12,,2982800,
40,1998-03-03,MSFT,82.62,84.56,82.56,84.5,13.7639,12688400,0
41,1998-03-04,AAPL,22.87,24.75,22.87,24.44,,7302000,
41,1998-03-04,MSFT,82.44,83.81,81.56,82.31,13.4072,17878400,0
42,1998-03-05,AAPL,23.25,24.25,23.12,24.06,,6027900,
42,1998-03-05,MSFT,79.25,81.44,79.25,80.06,13.0407,23063900,0
43,1998-03-06,AAPL,23.87,24.5,23.37,24.44,,5950600,
43,1998-03-06,MSFT,80.31,82.75,80.25,82.75,13.4789,12851200,0
44,1998-03-09,AAPL,23.75,24.31,22.5,22.75,,5133300,
44,1998-03-09,MSFT,82.5,82.5,79.5,79.59,12.9641,13064000,0
45,1998-03-10,AAPL,23,24.5,22.94,24.06,,6365200,
45,1998-03-10,MSFT,81.19,81.5,79.94,81.5,13.2752,11851600,0
46,1998-03-11,AAPL,25.12,26.19,24.56,26.12,,10842300,
46,1998-03-11,MSFT,82,82,79.75,80.69,13.1433,9959700,0
47,1998-03-12,AAPL,26.12,27,25.56,27,,6646100,
47,1998-03-12,MSFT,82.5,82.62,80.81,81.87,13.3355,11990500,0
48,1998-03-13,AAPL,27.25,27.25,26.25,27.12,,5055000,
48,1998-03-13,MSFT,82.44,83,81.56,82.37,13.417,8135600,0
49,1998-03-16,AAPL,27.12,27.25,26.19,26.69,,3592500,
49,1998-03-16,MSFT,82.44,82.75,81.37,82,13.3567,6994900,0
50,1998-03-17,AAPL,26.5,26.69,25.87,26.34,,3663000,
50,1998-03-17,MSFT,81.69,81.69,79.69,80.37,13.0912,13460600,0
51,1998-03-18,AAPL,26,26.94,26,26.94,,2473200,
51,1998-03-18,MSFT,80.06,81.81,79.87,81.75,13.316,8471900,0
52,1998-03-19,AAPL,26.87,26.94,26.56,26.75,,1429100,
52,1998-03-19,MSFT,81.5,82.31,81.25,82,13.3567,7574800,0
53,1998-03-20,AAPL,26.69,26.87,26,26.37,,1923900,
53,1998-03-20,MSFT,82.12,83,80.5,81.81,13.3257,14077500,0
54,1998-03-23,AAPL,25.94,26.25,24.62,26.12,,3703000,
54,1998-03-23,MSFT,81.19,84.62,81.06,83.87,13.6613,13762500,0
55,1998-03-24,AAPL,26.37,28,26.25,28,,6035100,
55,1998-03-24,MSFT,84.19,85.06,83.44,84.94,13.8356,8070400,0
56,1998-03-25,AAPL,27.62,27.75,26.37,27.16,,3458700,
56,1998-03-25,MSFT,90.5,90.94,87.25,88.81,14.4659,31061200,0
57,1998-03-26,AAPL,26.75,27,26.44,26.56,,1812200,
57,1998-03-26,MSFT,88.5,89.56,87.5,88.25,14.3747,11360300,0
58,1998-03-27,AAPL,26.62,27.31,26.37,26.94,,2282100,
58,1998-03-27,MSFT,89.37,89.37,87.56,87.81,14.3031,9731000,0
59,1998-03-30,AAPL,26.75,27.5,26.75,27.44,,2238400,
59,1998-03-30,MSFT,88.06,88.62,87.12,87.94,14.3242,6865800,0
60,1998-03-31,AAPL,27.44,27.81,27.25,27.5,,2383000,
60,1998-03-31,MSFT,88.62,89.75,88.5,89.5,14.5783,9544300,0
61,1998-04-01,AAPL,27.44,27.81,27.06,27.5,,1668600,
61,1998-04-01,MSFT,89.81,90.62,88.5,90.37,14.72,9208900,0
62,1998-04-02,AAPL,27.31,27.44,26.94,27.31,,1734900,
62,1998-04-02,MSFT,90.69,91.94,89.87,91.31,14.8732,10353700,0
63,1998-04-03,AAPL,27.12,27.25,26.81,27.06,,1813100,
63,1998-04-03,MSFT,92,93.06,91.5,93,15.1484,10246900,0
64,1998-04-06,AAPL,27,27,26.19,26.25,,3103500,
64,1998-04-06,MSFT,92.62,92.62,89.06,89.94,14.65,18558000,0
65,1998-04-07,AAPL,25.81,26,24.87,25.5,,2613400,
65,1998-04-07,MSFT,89.31,90.62,86.75,87.25,14.2118,15657700,0
66,1998-04-08,AAPL,25.25,25.37,24.69,25,,2010700,
66,1998-04-08,MSFT,86.75,89,86.62,88.94,14.4871,9198300,0
67,1998-04-09,AAPL,25.06,25.87,25,25.62,,1520600,
67,1998-04-09,MSFT,87.94,89.62,87.5,89,14.4969,8404800,0
68,1998-04-13,AAPL,25.62,26.69,25,26.44,,2574100,
68,1998-04-13,MSFT,88.81,89,86.75,88.62,14.435,8289100,0
69,1998-04-14,AAPL,26.37,27.25,26.37,26.94,,2927200,
69,1998-04-14,MSFT,88.69,89.56,87.5,88.44,14.4057,7119200,0
70,1998-04-15,AAPL,27.19,27.5,26.62,27.44,,4977800,
70,1998-04-15,MSFT,89.25,91.37,88.87,91.37,14.8829,10124600,0
71,1998-04-16,AAPL,29.25,29.62,28.19,28.62,,16410300,
71,1998-04-16,MSFT,90.37,92.06,90.19,91.69,14.9351,9923900,0
72,1998-04-17,AAPL,28.56,28.62,27.69,27.94,,5287200,
72,1998-04-17,MSFT,91.5,92.25,90.31,92.12,15.0051,9350700,0
73,1998-04-20,AAPL,27.62,29.5,27.56,29,,4623000,
73,1998-04-20,MSFT,92.37,95,92.19,94.62,15.4123,11383800,0
74,1998-04-21,AAPL,29.06,29.12,28.5,29,,3107400,
74,1998-04-21,MSFT,94.69,95,93.12,94.87,15.453,12984600,0
75,1998-04-22,AAPL,28.75,29,27.5,27.5,,2544200,
75,1998-04-22,MSFT,96,99.12,95.62,98.87,16.1046,20038500,0
76,1998-04-23,AAPL,27.44,29,27.19,27.69,,4243700,
76,1998-04-23,MSFT,97.25,97.37,94.14,94.5,15.3928,16053800,0
77,1998-04-24,AAPL,27.75,28.25,27.5,27.94,,1924500,
77,1998-04-24,MSFT,93.5,94.75,91.87,92.12,15.0051,12859000,0
78,1998-04-27,AAPL,26.75,27.75,26.75,27.75,,3658900,
78,1998-04-27,MSFT,89.5,90.53,88.5,90.31,14.7103,14688000,0
79,1998-04-28,AAPL,27.87,28,26.25,26.94,,2117600,
79,1998-04-28,MSFT,92.12,92.25,89.02,89.87,14.6386,14167000,0
80,1998-04-29,AAPL,26.94,27.44,26.75,27,,1692300,
80,1998-04-29,MSFT,90.06,91.5,89.62,90.5,14.7412,12515400,0
81,1998-04-30,AAPL,27.37,27.62,27.06,27.37,,1606700,
81,1998-04-30,MSFT,91.5,91.62,89.69,90.12,14.6793,13618400,0
82,1998-05-01,AAPL,27.5,28.25,26.87,28,,1643500,
82,1998-05-01,MSFT,90.19,90.5,88.12,89.62,14.5979,8999000,0
83,1998-05-04,AAPL,28.87,29.5,28.87,29.06,,5099500,
83,1998-05-04,MSFT,89.19,89.87,87.94,88.06,14.3438,9474900,0
84,1998-05-05,AAPL,29.25,29.87,29.12,29.69,,3743600,
84,1998-05-05,MSFT,87.62,89.56,87,87.75,14.2933,12707000,0
85,1998-05-06,AAPL,29.87,30.44,29.25,30.31,,8009000,
85,1998-05-06,MSFT,87.5,87.5,86,86.37,14.0685,12027700,0
86,1998-05-07,AAPL,30.56,30.62,29.87,30.19,,4936600,
86,1998-05-07,MSFT,86.19,86.25,83.19,83.37,13.5798,19505500,0
87,1998-05-08,AAPL,30.06,30.5,29.94,30.44,,2418000,
87,1998-05-08,MSFT,81.87,86.12,81.87,85.75,13.9675,24068700,0
88,1998-05-11,AAPL,30.87,31.62,30.75,30.94,,5937700,
88,1998-05-11,MSFT,86.12,86.19,84.06,84.25,13.7232,12868600,0
89,1998-05-12,AAPL,30.56,30.75,29.94,30.12,,2301900,
89,1998-05-12,MSFT,83.25,85.75,83.25,85.69,13.9577,16036800,0
90,1998-05-13,AAPL,30.06,30.81,29.62,30.44,,2807300,
90,1998-05-13,MSFT,88.69,88.75,86.5,86.94,14.1613,20170100,0
91,1998-05-14,AAPL,30.37,30.44,29.75,30.06,,1452500,
91,1998-05-14,MSFT,85.87,91,85.81,88.94,14.4871,23693600,0
92,1998-05-15,AAPL,30.06,30.37,29.25,29.56,,2433800,
92,1998-05-15,MSFT,90.12,90.19,88.75,89.44,14.5686,12037700,0
93,1998-05-18,AAPL,29.37,29.56,28.37,28.5,,2074900,
93,1998-05-18,MSFT,84.5,86.5,84.5,86.06,14.018,20098900,0
94,1998-05-19,AAPL,28.94,29.44,28.81,29.37,,1948800,
94,1998-05-19,MSFT,85.81,86.94,85.56,86.5,14.0897,13058600,0
95,1998-05-20,AAPL,29.62,29.87,28.75,29.56,,1698000,
95,1998-05-20,MSFT,86.12,86.87,85.37,85.75,13.9675,8924700,0
96,1998-05-21,AAPL,29.56,29.69,28.62,28.87,,1169600,
96,1998-05-21,MSFT,85.81,87.37,85.5,86.37,14.0685,9170000,0
97,1998-05-22,AAPL,28.75,28.75,27.31,27.87,,2380300,
97,1998-05-22,MSFT,86.62,86.75,85.44,85.56,13.9366,9032300,0
98,1998-05-26,AAPL,28.06,28.25,26.62,26.69,,2783700,
98,1998-05-26,MSFT,85.31,86.19,83.5,83.62,13.6206,11118400,0
99,1998-05-27,AAPL,25.69,26.81,25.62,26.75,,3305300,
99,1998-05-27,MSFT,82.87,86.12,82.87,86,14.0082,14643600,0
100,1998-05-28,AAPL,26.75,27.87,26.75,27.44,,2665100,
100,1998-05-28,MSFT,85.75,86.37,85.06,86.31,14.0587,7686700,0
101,1998-05-29,AAPL,27.5,27.56,26.44,26.62,,1935000,
