model, step, date, cash, portfolio, reward,asset0_price,asset1_price,asset0_qty,asset1_qty
ppo2, 0,1998-01-02T00:00:00.000000000,10000,10000,0,16.25, 131.13,0, 0,
ppo2, 1,1998-01-05T00:00:00.000000000,9998.517571017146,9999.96624623239,-0.03375376760959625,15.88, 130.38,0.09122639894485474, 0,
ppo2, 2,1998-01-06T00:00:00.000000000,9999.96624623239,9999.96624623239,0.0,18.94, 131.13,0.0, 0,
ppo2, 3,1998-01-07T00:00:00.000000000,9737.70624623239,9996.826246232391,-3.139999999999418,17.5, 129.56,0.0, 2.0,
ppo2, 4,1998-01-08T00:00:00.000000000,9754.706910322308,9998.582900876998,1.756654644606897,18.19, 130.5,0.0, 1.8687815368175507,
ppo2, 5,1998-01-09T00:00:00.000000000,9858.046420890092,9995.129510859846,-3.4533900171518326,18.19, 127.0,0.6472988724708557, 0.9866828620433807,
ppo2, 6,1998-01-12T00:00:00.000000000,9868.50719423592,9997.205823987722,2.0763131278763467,18.25, 129.5,1.3964872360229492, 0.7970095574855804,
ppo2, 7,1998-01-13T00:00:00.000000000,9957.828587591648,9999.902894973755,2.697070986032486,19.5, 132.13,2.1576567888259888, 0.0,
ppo2, 8,1998-01-14T00:00:00.000000000,9905.49956876129,10000.631685107946,0.7287901341915131,19.75, 131.13,3.6301026344299316, 0.17873552441596985,
ppo2, 9,1998-01-15T00:00:00.000000000,9792.336180950255,9999.86345108211,-0.7682340258361364,19.19, 132.31,3.582128420472145, 1.0489473640918732,
ppo2, 10,1998-01-16T00:00:00.000000000,9830.551140905769,10001.151947021188,1.2884959390776203,18.81, 135.25,3.0675570517778397, 0.8347508907318115,
ppo2, 11,1998-01-20T00:00:00.000000000,9708.696708855183,10006.311311774105,5.159364752917099,19.06, 137.81,3.5479375272989273, 1.668898582458496,
ppo2, 12,1998-01-21T00:00:00.000000000,9570.476370975823,10003.621253512352,-2.6900582617527107,18.91, 137.0,3.380654513835907, 2.6950124502182007,
ppo2, 13,1998-01-22T00:00:00.000000000,9575.216454927475,10009.152900300325,5.531646787972932,19.25, 138.63,3.7784427106380463, 2.6055069118738174,
ppo2, 14,1998-01-23T00:00:00.000000000,9672.096147012264,10009.945825606883,0.7929253065576631,19.5, 138.25,5.670493811368942, 1.6439424902200699,
ppo2, 15,1998-01-26T00:00:00.000000000,9586.25703082636,10018.417481780649,8.47165617376595,19.44, 141.75,4.072170823812485, 2.4902818351984024,
ppo2, 16,1998-01-27T00:00:00.000000000,9497.960319456608,10026.532526654602,8.115044873953593,19.12, 145.19,5.702971547842026, 2.889533653855324,
ppo2, 17,1998-01-28T00:00:00.000000000,9281.263501973302,10043.62728347637,17.094756821767078,19.19, 149.0,5.7030153051018715, 4.382033005356789,
ppo2, 18,1998-01-29T00:00:00.000000000,9227.337631514818,10035.983085042388,-7.644198433981728,18.5, 148.25,5.957738317549229, 4.711145326495171,
ppo2, 19,1998-01-30T00:00:00.000000000,9251.06540968135,10038.869346029089,2.886260986701018,18.31, 149.19,6.803148187696934, 4.44559483230114,
ppo2, 20,1998-02-02T00:00:00.000000000,9297.534689855129,10056.344116445109,17.474770416019965,17.69, 154.88,8.191576518118382, 3.963716670870781,
ppo2, 21,1998-02-03T00:00:00.000000000,9325.574670224934,10064.308957926407,7.964841481298208,18.31, 155.88,6.418859399855137, 3.9851486533880234,
ppo2, 22,1998-02-04T00:00:00.000000000,9328.08222723469,10067.793164912462,3.484206986055142,18.25, 156.81,5.366443194448948, 4.0926812663674355,
ppo2, 23,1998-02-05T00:00:00.000000000,9129.925795618146,10060.8329956574,-6.960169255062283,18.31, 155.44,5.621853269636631, 5.326628066599369,
ppo2, 24,1998-02-06T00:00:00.000000000,9144.424695367663,10075.854819992854,15.021824335453857,18.5, 158.13,6.599592961370945, 5.118179060518742,
ppo2, 25,1998-02-09T00:00:00.000000000,9166.885256618558,10075.17342168629,-0.6813983065640059,19.19, 157.19,5.902637518942356, 5.057678930461407,
ppo2, 26,1998-02-10T00:00:00.000000000,9226.854625848233,10086.281228198333,11.10780651204368,19.44, 159.25,6.4156211987137794, 4.613544277846813,
ppo2, 27,1998-02-11T00:00:00.000000000,9162.415821079909,10081.746234252601,-4.534993945731912,19.0, 158.94,6.804731614887714, 4.9706839844584465,
ppo2, 28,1998-02-12T00:00:00.000000000,9219.703059552014,10082.748223931045,1.0019896784433513,19.37, 158.75,5.175517924129963, 4.8050102815032005,
ppo2, 29,1998-02-13T00:00:00.000000000,9046.61484807402,10075.907717045844,-6.840506885200739,19.5, 157.5,4.6652453020215034, 5.9575910195708275,
ppo2, 30,1998-02-17T00:00:00.000000000,8959.476425391138,10056.700389904381,-19.207327141462883,19.62, 154.38,5.7450665310025215, 6.37715869396925,
ppo2, 31,1998-02-18T00:00:00.000000000,8923.874845183194,10063.266236906722,6.565847002340888,20.56, 154.63,5.209454484283924, 6.675839148461819,
ppo2, 32,1998-02-19T00:00:00.000000000,8936.075675529391,10064.329213992209,1.0629770854866365,20.44, 154.88,4.95575100928545, 6.630668826401234,
ppo2, 33,1998-02-20T00:00:00.000000000,8948.156076129826,10064.128116660642,-0.20109733156641596,20.0, 155.13,4.23424918204546, 6.647889234125614,
ppo2, 34,1998-02-23T00:00:00.000000000,8888.353412888202,9547.400102799314,-516.7280138613278,21.25, 81.62,3.7684842124581337, 7.093437887728214,
ppo2, 35,1998-02-24T00:00:00.000000000,8915.338651408407,9550.980652051943,3.5805492526287708,21.31, 82.12,4.152780421078205, 6.662764854729176,
ppo2, 36,1998-02-25T00:00:00.000000000,8926.351054939481,9573.666306398141,22.685654346198135,22.31, 84.94,4.6077995374798775, 6.410586811602116,
ppo2, 37,1998-02-26T00:00:00.000000000,8931.068935794983,9581.743153913174,8.076847515032568,23.5, 85.5,3.682258851826191, 6.598141930997372,
ppo2, 38,1998-02-27T00:00:00.000000000,8994.636744244252,9577.54840644576,-4.194747467414345,23.62, 84.75,2.9291338995099068, 6.061658047139645,
ppo2, 39,1998-03-02T00:00:00.000000000,8874.028656596098,9564.33673451886,-13.211671926899726,22.75, 83.31,2.6843293383717537, 7.552989862859249,
ppo2, 40,1998-03-03T00:00:00.000000000,8886.472668820772,9574.084162209037,9.747427690177574,23.12, 84.5,1.439145751297474, 7.74365022033453,
ppo2, 41,1998-03-04T00:00:00.000000000,8792.259761623893,9553.821494312215,-20.262667896822677,24.44, 82.31,0.0, 9.2523597702384,
ppo2, 42,1998-03-05T00:00:00.000000000,8624.74333582476,9528.577542298737,-25.24395201347761,24.06, 80.06,0.5312103629112244, 11.129818700253963,
ppo2, 43,1998-03-06T00:00:00.000000000,8708.538829564603,9556.130679161774,27.553136863036343,24.44, 82.75,0.0, 10.242801807820797,
ppo2, 44,1998-03-09T00:00:00.000000000,8719.798048533054,9524.193384747432,-31.937294414341522,22.75, 79.59,0.0, 10.106738738715649,
ppo2, 45,1998-03-10T00:00:00.000000000,8745.223310512454,9542.887100563348,18.69371581591622,24.06, 81.5,0.0, 9.787285767495632,
ppo2, 46,1998-03-11T00:00:00.000000000,8700.765776199252,9534.517551204637,-8.369549358711083,26.12, 80.69,0.0, 10.332776986062527,
ppo2, 47,1998-03-12T00:00:00.000000000,8710.646408067198,9547.032374581324,12.514823376686763,27.0, 81.87,0.9369811415672302, 9.907016925513744,
ppo2, 48,1998-03-13T00:00:00.000000000,8708.007448353022,9552.12948150523,5.097106923905812,27.12, 82.37,0.6018933653831482, 10.049759440124035,
ppo2, 49,1998-03-16T00:00:00.000000000,8694.527443247736,9548.019329761268,-4.110151743961978,26.69, 82.0,0.8367420136928558, 10.136088319122791,
ppo2, 50,1998-03-17T00:00:00.000000000,8663.868737400473,9530.746289256887,-17.273040504380333,26.34, 80.37,1.6735323369503021, 10.237609930336475,
ppo2, 51,1998-03-18T00:00:00.000000000,8804.425399921836,9543.350147277939,12.603858021051565,26.94, 81.75,0.8969444334506989, 8.743254609405994,
ppo2, 52,1998-03-19T00:00:00.000000000,8855.730003222825,9545.379470191898,2.029322913958822,26.75, 82.0,0.2698052227497101, 8.32234362512827,
ppo2, 53,1998-03-20T00:00:00.000000000,8730.315535217525,9543.374080567733,-2.0053896241643088,26.37, 81.81,0.36735889315605164, 9.819964446127415,
ppo2, 54,1998-03-23T00:00:00.000000000,8803.20998581827,9561.572033677627,18.197953109893206,26.12, 83.87,0.4809580147266388, 8.892326511442661,
ppo2, 55,1998-03-24T00:00:00.000000000,8700.343551008704,9573.413618355247,11.84158467762063,28.0, 84.94,0.5522298365831375, 10.096628583967686,
ppo2, 56,1998-03-25T00:00:00.000000000,8641.072261896135,9613.71588966109,40.30227130584353,27.16, 88.81,1.0288049429655075, 10.63733009248972,
ppo2, 57,1998-03-26T00:00:00.000000000,8613.677135108115,9606.742951864975,-6.97293779611573,26.56, 88.25,1.5559481233358383, 10.784587360918522,
ppo2, 58,1998-03-27T00:00:00.000000000,8671.108414155842,9603.04669176139,-3.696260103584791,26.94, 87.81,1.8903493136167526, 10.03316555172205,
ppo2, 59,1998-03-30T00:00:00.000000000,8687.077146923246,9605.492387922259,2.445696160868465,27.44, 87.94,2.368166044354439, 9.704716451466084,
ppo2, 60,1998-03-31T00:00:00.000000000,8584.0018956849,9622.302089356037,16.809701433778173,27.5, 89.5,3.071676626801491, 10.657308228313923,
